repo_name,number_contributor,number_stars,created_date,description,language,number_commit,sloc
YingHuCS/satdetection,1,0,2020-03-29T15:12:51Z,satellite/aerial image detection,Python,3,5898
SamirMoustafa/auto-features-extraction-for-RL,6,2,2020-05-26T16:50:04Z,Features Extraction using Autoencoders for Reinforcement Learning Tasks,Jupyter Notebook,152,198432
a8-d2/espnet,30,0,2019-11-12T19:16:16Z,Personal Updates ,Python,5056,18345
ripl/invariance-through-latent-alignment,1,2,2022-08-24T21:41:15Z,Codebase for Invariance Through Latent Alignment,Python,124,146
AITAhenu/SLPA,1,0,2022-12-12T11:55:30Z,A software of SLPA-Net ,C++,2,433876
RichardVelder/Jukebox,5,1,2021-03-09T19:20:19Z,,Python,2,2786
Treasure-tea/graduation-yolov5-master,1,0,2022-04-18T03:05:30Z,,Python,534,234
naddeoa/whylogs-writer-bug-repro,0,0,2023-02-08T21:14:08Z,,Python,293,14
KyanChen/ClassificationFramework,30,0,2022-03-20T13:16:45Z,,Python,494,15344
jessica63/SIIM-COVID-Detection,1,0,2021-05-28T05:32:27Z,,Python,1,65192
yngvem/scinets,1,4,2017-11-11T13:34:00Z,Code used for my masters project about tumour segmentation using deep learning.,Python,3,6534
galatolofederico/plotszoo,1,1,2020-11-11T15:49:49Z,,Python,13,9897
alphaj-jaeminyx/jaeminyx_jukebox,1,0,2021-06-08T14:20:09Z,patched jukebox (cuda 11 / cpu support),Python,124,15917
garyd203/flying-circus,2,6,2017-09-12T10:53:04Z,"A tool for describing AWS infrastructure as (Python) code, built on top of AWS Cloud Formation.",Python,17,1040
meipuru344/torch,1,0,2019-12-19T16:08:35Z,Playing with pytorch,Python,4,42
Yoelio/.dotfiles,1,0,2021-02-01T18:22:37Z,,Vim script,332,141627
abhijayrajvansh/YOLOv7-Automated-Recognition,1,0,2023-04-24T10:07:52Z,About This research aims to advance the detection system of various different human bone implants using object detection and deep learning algorithm YOLOv7 🚀,Jupyter Notebook,43,36573
prabhuteja12/pest,1,2,2021-10-27T20:24:24Z,Code release for paper Test time Adaptation through Perturbation Robustness,Python,18,27
rnlee1998/3D-Reconstruction-for-Monocular-Depth-Estimation,2,1,2022-07-09T08:55:27Z,only need depth raw image,Python,7,6319
Malacu/Hack2021esol,7,0,2021-11-05T16:41:54Z,Hackathlon 2021 esolutions,,2091,2813
boostcampaitech3/level1-image-classification-level1-cv-16,3,0,2022-02-14T06:19:53Z,level1-image-classification-level1-cv-16 created by GitHub Classroom,Python,12,91
yayaja11/StarCraft1_RL_Project,1,8,2022-02-13T03:17:05Z,,Python,124,231
SkellyDev/CouchPotato,3,0,2020-10-25T07:02:02Z,,Java,489,91198
pearljain7/MentalHealthDetection,1,1,2022-11-21T19:03:26Z,,Python,332,144407
JialeCao001/PSTR,1,31,2022-04-07T10:26:13Z,PSTR: End-to-End One-Step Person Search With Transformers (CVPR2022),Python,3,13160
romesco/configen-tests,1,0,2020-12-24T22:15:56Z,A subset of the torch repo used to test the nuts and bolts of configen (a tool within he hydra project).,Python,278,214
kelvincjr/shared,1,5,2018-07-21T02:22:34Z,,Python,1,619370
geyang/ml-research-containers,3,2,2022-01-14T21:03:35Z,A list of community maintained docker images for deep reinforcement learning research,Dockerfile,89,51
SSS135/rl_exp,1,1,2019-05-29T12:10:39Z,RL / PyTorch related garbage bin,Python,2,115
zj5559/Meta-Updater,1,1,2022-08-23T00:58:20Z,"Official PyTorch implementation of ""Robust Online Tracking with Meta-Updater"". (IEEE TPAMI)",Python,59,17308
blue-orc/machine-learning-workshop-pytorch,1,0,2019-07-17T18:12:39Z,,C++,26077,9020
Artem1280/Sia-Tracking,1,2,2021-12-12T05:33:19Z,A general-purpose tool for dynamic report generation in Python,Python,25,8280
zul-zul/yolov5sign,30,0,2022-07-06T12:44:09Z,,Python,10,6226
czycurefun/RequirementDependency,1,0,2022-09-27T03:08:43Z,,Python,2,503
openai/jukebox,7,6810,2020-04-29T17:16:12Z,"Code for the paper ""Jukebox: A Generative Model for Music""",Python,27,2810
tensorflow/profiler,21,312,2020-03-10T15:58:33Z,A profiling and performance analysis tool for TensorFlow,TypeScript,64,31943
shagunsodhani/ml-logger,1,17,2019-11-14T01:04:21Z,Logging utility for ML experiments,HTML,67,7196
whai362/mmcv,1,2,2020-06-08T03:54:37Z,The project is modified from mmcv 0.5.9. We fixed the bug in syncbn.,Python,489,4555
ppjj977/Dall-e,15,0,2022-06-10T08:42:59Z,,Python,1,12436
gopitummala/mlclass,8,0,2018-07-26T23:56:16Z,,Python,20,16666
anita9407/movie-chatbot,1,1,2020-10-15T08:28:28Z,,C++,19,37822
XiaoXiao-Woo/derain,1,3,2022-05-01T13:14:31Z,"A Decoder-free Transformer-like Architecture for High-efficiency Single Image Deraining (DFTL).  As a deraining toolbox, it can easily introduce your own methods [Ready to use]. ",Python,5,11447
JackMing1986/multi-visual-tasks,2,4,2021-05-30T08:47:10Z,,Python,1,33811
JonasVerbickas/amazingGUI,2,0,2021-05-09T20:17:48Z,,Python,45,725627
DuJoram/mt_mvae,1,0,2022-10-25T16:57:34Z,Code for my master thesis: Coherence in Multi-Modal Generative Models: Exploring the Effects of Redundant Information,Python,4,1953
Meaple-SFKY/SCup,1,0,2021-06-12T02:20:00Z,SCup,Python,11,13840
wangkai930418/HCV_IIRC,1,13,2021-10-20T16:26:37Z,"code for our BMVC 2021 paper ""HCV: Hierarchy-Consistency Verification for Incremental Implicitly-Refined Classification""",Python,124,2180
JamesNorris153/hive,1,1,2019-11-05T17:52:31Z,Third Year Project,Python,75,57664
okly366/pytorch,30,0,2020-04-26T16:44:51Z,,C++,4,138950
PhIMaL/phimal_utilities,1,0,2020-04-21T13:16:01Z,,Jupyter Notebook,26,1303
endvroy/try-lightning,1,0,2019-12-13T16:51:26Z,,Python,90,3749
Lumosis/MSRA,0,0,2019-10-25T06:32:17Z,,C++,1,50334
T-Sumida/sound-recognition,1,2,2020-09-21T12:32:43Z,,Python,52,37
yhw-yhw/SHOW,4,81,2023-01-19T16:21:57Z,"This is the codebase for SHOW in Generating Holistic 3D Human Motion from Speech [CVPR2023],",Python,4,33052
ludvb/jafx,1,1,2021-11-24T20:45:42Z,,Python,18,157
doodoroma/hackAI-21-group1,3,0,2021-03-27T09:31:33Z,,Jupyter Notebook,512,757576
vitalfadeev/BrainFactory,1,0,2019-08-10T17:26:50Z,,HTML,6,19734
serp404/dla-ami-2021,2,0,2021-10-10T19:34:45Z,Solutions of homeworks for HSE AMI Deep Learning in Audio Course,Jupyter Notebook,77,16341
ktonal/mimikit,2,9,2020-10-23T04:17:42Z,Music Modeling Kit,Python,319,23239
Sebasu11/WiDS-2021,1,0,2021-01-17T20:25:01Z,Determine Whether a patient admitted to an ICU has been diagnosed with a particular type of diabetes,Jupyter Notebook,131,66786
ARAN1218/Pigeon-Detection-AI,1,1,2022-08-27T15:40:23Z,2022年度青山祭にて出展したPigeon Detection AIアプリのソースコードです。,Python,330,28868
tfwu/iVMCL-Release,1,5,2020-10-01T21:14:54Z,Codes for projects by the iVMCL group at NC State,Python,5,11718
M1v1savva/throwing_robot,3,0,2021-09-21T08:27:52Z,UM DSAI Project 3-1,Python,2,4404969
Daltonhensley19/reu_summer_research,1,1,2022-08-12T21:50:59Z,,C++,49,241830
obin-hero/habitat_objectnav_rl,2,12,2021-06-07T09:34:38Z,,Python,8,154
gmum/Zero-Time-Waste,1,0,2020-07-04T08:39:01Z,"Covid-19 Chatbot is a multi-lingual WhatsApp chatbot to answer FAQs about Covid-19 as per the WHO. It also has computer vision capabilities allowing a WhatsApp client to send a picture of a mask and the chatbot will classify the mask as either a N95, surgical or cloth mask.",Python,4,364
seedatnabeel/covid_19_chatbot,0,0,2022-10-07T00:10:33Z,,Python,28,502
naddeoa/bigquery-whylogs,1,45,2020-03-17T09:29:13Z,,Python,29,354
catalyst-team/catalyst-rl,0,0,2019-07-07T21:46:06Z,,Python,306,380394
corl19paper273/midlevel-visual-priors,1,0,2021-10-11T16:49:59Z,2021 SSU Graduate Project: RoomDentist Server,Python,2,171
RoomDentist/Flask_RoomDentist,1,0,2020-07-14T14:17:07Z,,Python,1,59284
prbh695a/SPML,0,0,2022-05-24T22:25:34Z,,Shell,772,2035
naddeoa/whylogs-flyte-demo,1,0,2022-06-20T12:42:13Z,Reconfigurable PIM SW framework,C++,40,299236
seokNULL/ort-pim-release,1,0,2022-10-25T13:30:23Z,This repository contains the Language Modeling project of the NLU university course,Python,24,5484
simonebarattin/LSTM_language_model,7,0,2022-04-02T11:44:05Z,,Python,16,2789
15Moners/fluke,3,10,2018-01-25T08:17:56Z, 머신러닝 프레임워크를 활용한 비교사(Unsupervised) 학습 모델 구현 프로젝트,Python,26548,6968
demetoir/ALLGANS,1,1,2019-09-18T15:46:13Z,tensorflow 2.0 代码注释，用于学习源代码,C++,1,54439
wzzlYwzzl/tensorflow-annotation,2,5,2020-12-23T05:28:49Z,Utility functions for weights and biases (wandb).,Python,4,178
dhruvdcoder/wandb-utils,2,2,2022-01-15T03:20:36Z,Repo containing code + dataset for Small Handheld Object Pipeline (SHOP),PureBasic,7,74383
spider-sense/SHOP,1,2,2020-05-20T09:48:20Z,Open source epidemiological modeling in Python,Jupyter Notebook,5,72160
ekimetrics/pyepidemics,1,0,2022-04-15T02:57:40Z,,Python,600,1875
yuxing333/pykeen,5,1,2021-05-26T14:51:52Z,,Python,21,104
neptune-ai/neptune-client-e2e,1,3,2022-03-04T16:23:49Z,,Jupyter Notebook,11,669034
xjdlb/my-awesome-tensorlfow-tutorial,1,0,2021-05-28T11:22:35Z,tutorial auto encoder using tensorflow,Python,3,2
dolgogae/baseline_code_AE,2,1,2018-09-23T04:34:47Z,Predicting fantasy points for NBA players.,Jupyter Notebook,55,6827
r-rb/nba_fantasy_prediction,2,0,2022-09-22T13:48:42Z,,Python,78,44831
geyang/graphics-is-awesome,1,0,2018-06-04T03:14:38Z,,Python,2,4394
higis927/travis_test,1,6,2021-01-22T18:17:41Z,,Jupyter Notebook,45,342682
abysmalocean/3D_tracking,8,3,2022-08-29T15:53:29Z,"This repo contains reference implementations, tutorials, samples, and documentation for working with Bosch AIShield",Jupyter Notebook,2,124839
bosch-aisecurity-aishield/Reference-Implementations,1,0,2021-07-08T03:27:08Z,,Python,3,53565
Wenxiang98/FYP_License-Plate_Recognition_YOLOv5,1,2,2021-11-05T17:26:36Z,,Python,6,6192
whylabs/whylabs-ray-examples,1,0,2018-06-25T02:54:54Z,,Python,4,1590
jihuacao/Putil,1,0,2020-08-19T14:41:30Z,Highly secured AI system to check the safety of the passenger,Python,2,35203
pradip026/passengerCOVIDscan,5,0,2021-02-04T15:34:28Z,,Python,5342,2764
norbonorbo/hm2,1,0,2019-04-08T10:15:08Z,my own implement of classical CNN architecture,Python,253,286998
mxxhcm/code,7,4,2020-09-20T06:53:53Z,This is Mercenary Project,C++,17,484989
embedded-bitai/Mercenary,0,0,2022-06-11T13:13:06Z,,Python,4,770269
char321/emo_dialogue,15,1239,2018-03-10T17:51:43Z,"Live training loss plot in Jupyter Notebook for Keras, PyTorch and others",Python,7,1838
stared/livelossplot,1,1,2019-02-20T13:39:09Z,Implementation of a simulated environment using python,Python,1042,7
isidharthrai/Blockchain-Simulation-using-Python,1,11,2019-10-27T11:11:26Z,,Jupyter Notebook,2,1590119
tintybot/CNN-BiLSTM-Model,1,7,2020-12-18T10:25:21Z,"My Master Thesis at the ASL supervised by Hermann Blum, Francesco Milano and Dr. Cadena Cesar",Jupyter Notebook,31,290321
JonasFrey96/ASL,1,0,2020-04-19T23:13:37Z,,Python,12,9496
crypto-venture/Starburst,3,11,2018-09-17T10:00:23Z,"Jupyterlab Quick Start Guide, published by Packt",Jupyter Notebook,1,52
PacktPublishing/JupyterLab-Quick-Start-Guide,1,0,2021-10-07T16:34:57Z,,Python,379,156
JustTheInstinct/red-toads,2,0,2022-07-12T14:40:55Z,Latent Archive Computer Vision Experiments,Python,4,641700
VirtualCollaborationResearch/LatentArchive,1,2,2020-06-11T04:29:44Z,coarse-grained segmentation map guided Crowd counting,Python,140,46
TWSFar/CSMNet,2,1,2020-11-28T16:26:20Z,,Python,531,52
Martijho/pyutil,30,7844,2023-02-12T16:26:27Z,WebUI extension for ControlNet,Python,2,13746
Mikubill/sd-webui-controlnet,1,0,2020-08-10T08:37:23Z,Data science tool trials,Jupyter Notebook,720,3190
ferencberes/ds-tools,1,1,2021-12-17T14:43:50Z,,Python,2,17500
hiren14/World-health-organization-WHO-GUIDELINES-SYSTEM,5,0,2022-06-02T05:37:15Z,Setup guide for the UniTree Go1 robot,Python,128,310644
geyang/unitree-go1-setup-guide,3,2,2019-10-11T23:52:27Z,The environment for the ,Python,4,12893
TomaszOdrzygozdz/gym-splendor,1,0,2021-05-14T03:03:00Z,"Log machine learning metrics to Comet, Neptune, local, etc with same interface",Python,44,3
powergee/common-ml-logger,1,0,2021-10-31T17:16:32Z,,Python,79,386
NNgocHoa2920/Object-Detector-,0,1,2020-03-10T07:54:16Z,,SystemVerilog,274,390142
savan1213/vitistest1,1,0,2022-08-18T14:19:29Z,,Python,29,49309
pmanoonpong/MITrapidmotoradaptation,13,570,2019-12-31T12:25:05Z,A one-stop repository for low-code easily-installable object detection pipelines.,Jupyter Notebook,9,267138
Tessellate-Imaging/Monk_Object_Detection,1,0,2019-05-12T23:21:19Z,,C++,10,9292
schunsukesuzuki/bert_qa,1,0,2023-01-16T20:27:59Z,Iris Recognition system with ANN model with simple Gui using python.,Python,17,3333
BakrAbuHassiba/iris-recognition,1,2,2021-03-11T21:23:17Z,,Python,126,5695
bchimagine/ms-lesion-segmentation,1,1,2020-10-10T02:38:20Z,,Jupyter Notebook,1207,7737
26medias/Stock-Picker,2,3,2021-03-31T23:33:40Z,,Python,3,5470
salesforce/TransformerASR,30,0,2020-05-09T16:01:48Z,,C++,30,141290
xuezhou1998/new_pytorch,1,0,2022-06-01T18:58:03Z,,Python,39,1369
korooglu/goruntu_isleme,0,0,2021-11-04T15:05:04Z,,Python,115,177
pcmin03/kaggle_challenge,30,0,2021-10-11T07:37:38Z,my compiled file of mmcv-full,Python,4,8649
gakkispy/mmcv_ROCm,1,8,2019-08-05T19:36:14Z,Gender Change of faces implemented with CycleGAN (in Keras) for Deep Learning Course,Python,120,3809
rangasaishreyas/facegenderswap,1,15,2019-07-10T17:02:30Z,CycleGAN based neural network architecture to change the gender of a person’s face,Python,28995,3799
