repo_name,number_contributor,number_stars,created_date,description,language,number_commit,sloc
Xrez31/YOLOv5-Facemask-Detector,1,0,2022-11-10T12:35:02Z,,Python,24,6280
tomasmikeska/speech-driven-facial-animation,1,2,2020-11-16T15:56:38Z,WIP Experiments with Speech-Driven Facial Animation in PyTorch,Python,441,115
koustuvsinha/t-rgcn,28,0,2019-04-18T20:32:28Z,,Python,3,3713
csseries/TaxiFareModel,1,0,2021-08-17T13:33:21Z,Calculating the taxi fare based on my location and destination,Python,4,13
artberryx/LSD,1,20,2022-01-31T15:09:16Z,Lipschitz-constrained Unsupervised Skill Discovery,Python,4,822
AnnBengardt/DLS-Detection-Final_project,1,0,2023-01-19T05:33:30Z,"Детекция для итогового проекта в DLS, осенний семестр 2022.",Python,5,21167
thomhert/chest-x-ray-covid-recognition,1,0,2020-03-19T08:35:43Z,Is it covid or normal?,Python,25,80514
isilsgit/Mlops-Test,1,0,2022-12-02T15:48:02Z,,HCL,2,472
aishwaryajawalkar173/Fruit-Disease-Classification-using-CNN,1,0,2021-07-10T17:23:14Z,,Jupyter Notebook,10,311
seoheolim/Yolov5,1,0,2022-11-21T11:06:08Z,,Python,5,157300
skamano/Meta_RL_racing,1,0,2020-06-09T01:32:52Z,Final Project for ECE276B,Python,1,635
hbsun2113/myPytorch,1,6,2019-01-09T13:47:00Z,,Python,16,63473
haimeh/mxnet_a51m,1,0,2020-08-19T17:08:09Z,last version working on area 51m laptop,C++,772,39074
joelcthomas/modeldrift,1,97,2019-07-29T12:38:14Z,Capturing model drift and handling its response - Example webinar,Python,2,11081
HCYXAS/mmdetection-rocm,2,3,2020-06-30T03:09:40Z,,Python,9,90147
Elemento24/Random_Repo,1,0,2022-10-25T18:16:40Z,,Jupyter Notebook,2,18549
MichaelAHood/pk-mxnet,1,0,2017-05-30T22:39:45Z,"A modified version of MXNet, taken from tornadomeet, that incorporates several extra operators",C++,146,25054
hmoharrer/Machine-Learning-by-Dr.Rahmani,1,1,2020-02-12T04:10:39Z,,Python,18,43
leninrkb/reconocimiento-mineros-cv-ia,6,0,2023-02-03T17:49:25Z,,Python,6579,137726
Tessellate-Imaging/Monk_Object_Detection,13,570,2019-12-31T12:25:05Z,A one-stop repository for low-code easily-installable object detection pipelines.,Jupyter Notebook,15,267138
lzt-pro/ray,1,0,2020-06-13T08:59:35Z,,Python,3,47991
tmaior/xd,1,0,2023-03-01T15:27:40Z,,Python,4120,15394
vishvajitjambuti/ROS2_yolo,1,0,2022-12-07T14:06:19Z,,Python,2838,65416
Kaboto731/ThesisCode,1,0,2021-05-20T22:01:20Z,An RNN to help simulate the transition from brain excitations to muscle movements,Python,10,31
loryculaire/keras_mlflow,2,0,2020-11-03T17:18:27Z,,Python,5,10
malayaj2000/dsc_wow_kishanseva,1,0,2020-12-12T11:12:04Z,,Jupyter Notebook,5,7173
tkazusa/lambda_calls_sagemaker,1,0,2020-01-08T02:58:09Z,,Python,5,51864
happpyosu/reflection-enhancement-gan,1,5,2020-09-06T07:30:52Z,,Python,40,961
Nikii1118/CS5590-Python-DL-Session2,1,0,2019-01-26T00:03:39Z,,Jupyter Notebook,20,14884
ray-project/maze-raylit,30,5,2020-12-03T17:47:58Z,Hackathon 2020! Max Archit Zhe,Python,1,100076
ejlok1/Keras-Serve-Digit,1,1,2018-11-30T07:12:44Z,Not cloned on Desktop,Python,2,5964
Charlestng/mlflow_keras_solution,1,0,2020-11-04T10:02:24Z,,Python,4,3
starimpact/mxnet_basedv0.7.0,30,1,2016-07-14T12:15:46Z,based on mxnet v0.7.0,C++,61,8215
Tinagogo/mlflow,30,0,2022-06-23T16:49:08Z,,Python,94,57055
liketheflower/jimmy_dgl,1,3,2020-05-11T14:39:03Z,,Python,3,2338
sllynn/rr-datasci-overview-materials,1,0,2020-05-06T10:05:50Z,Data Science & Machine Learning on Databricks: a platform overview,Python,80,204
achao2013/mxnet-quantify,1,3,2017-04-03T11:12:59Z,"A mxnet implementation for network quantification include binary, log, uniform and so on",C++,34,23240
jene4ekjene4ek/mlflow,0,0,2020-08-10T12:31:32Z,,Python,2568,7420
ShnDanYao/DLSOP,1,0,2023-01-09T12:57:26Z,The code of the paper - DLSOP: Radio frequency fingerprint extraction with channel second-order pooling,Python,6,21
ShevyMittal-GSLab/Airbnb_Regression,1,0,2019-08-21T12:05:25Z,,Python,2,27
cerofrais/mlflow-intro,1,0,2020-12-20T09:07:38Z,base repo to build an entire ml pipeline using mlflow,,958,49
biaofendou/AntiSpamdetection,1,2,2018-11-17T21:27:07Z,mlflow with cpp api,Makefile,1,41458
sepidehhosseinzadeh/mlflow-cpp,0,0,2020-08-27T16:19:36Z,,Python,1,10
mndrake/mlflow-project-demo,1,0,2019-07-30T18:03:10Z,,Python,39,52111
rafueru/AWS,1,2,2019-01-17T02:22:29Z,mlflow学习代码,Python,2,195648
lqkweb/learnMLflow,1,6,2020-04-19T14:12:23Z,handwritten text recognition with mxnet and gluon. Thanks to https://pythonawesome.com/handwritten-text-recognition-ocr-with-mxnet-gluon/,Jupyter Notebook,83,123450
develooper1994/handwritten_text_recognition,30,0,2022-07-20T15:58:48Z,Fork of garage,Python,28,14497
SergioHdezG/garage,2,55,2020-03-16T20:22:05Z,O'Reilly Katacoda,Python,24,8800
PipelineAI/katacoda-notebooks,1,1,2022-10-20T21:34:24Z,,Python,3,586
AhmedAchraf2001/DL-projects,1,0,2022-10-02T08:58:11Z,,Python,1,31588
s42411562266/Meal-Analysis-System-,1,1,2016-06-15T14:19:50Z,,C++,3,30703
zdltheone/mxnet_windows,1,1,2019-03-24T02:43:56Z,,Jupyter Notebook,2,92271
fnever520/DeepLearning,1,10,2020-04-12T21:27:34Z,Image classification using Transfer learning technique. Updated and added mlflow with PyTorch fine-tune tutorial,Jupyter Notebook,1,150
arnabdeypolimi/Image-classification-PyTorch-MLflow,30,0,2023-02-05T14:22:15Z,,Python,5,6933
AlbaTujanni/yolov5,1,0,2020-12-23T01:51:49Z,HUAWEI Cloud AI competitions，ModelArts deployments.,Python,38,338
Klawens/HUAWEI-ModelArts,1,0,2021-11-16T13:07:08Z,Taxi Fare Model,Python,5,15
ygf8/taxifaremodel,1,0,2020-06-03T13:59:27Z,,Python,4,4
craigng/mlflow_test,30,0,2020-04-27T09:11:11Z,,Python,61,5213
ydwu4/dgl-hack,30,1,2022-03-31T08:00:16Z,,Python,4,46157
livcms/garage-ParticleTracking,0,0,2021-12-10T13:37:33Z,,Python,37,5
kdhyun2/mlflow-test,1,3,2022-05-01T13:14:31Z,"A Decoder-free Transformer-like Architecture for High-efficiency Single Image Deraining (DFTL).  As a deraining toolbox, it can easily introduce your own methods [Ready to use]. ",Python,78,11447
XiaoXiao-Woo/derain,1,0,2021-02-06T18:44:04Z,,Python,498,6
MoAdel1/SparkMachineLearningEngine,1,5,2020-12-19T12:58:28Z,,Jupyter Notebook,10097,5572
wuyi1405/DLLXW-data-science-competition,1,0,2021-05-25T08:58:35Z,,Python,11,11
raghulkrishna/mlops-cml-dvc-mlflow,0,0,2020-08-18T08:34:31Z,,Python,1,86879
Chico339/model_image,1,0,2022-11-22T19:03:25Z,,Python,23,14
TalBarami/3DSkeleton,7,28,2019-05-10T02:50:00Z,A little logger for machine learning research,Python,4835,83
rlworkgroup/dowel,1,1,2023-01-22T06:53:02Z,,Python,1849,999
AndyKong2020/RCdrone2022,1,0,2020-11-27T12:06:49Z,A web service that uses machine learning to make predictions based on a data set.,Jupyter Notebook,4705,252
JackMcnamee/EmergingTechProject,1,0,2020-10-11T17:08:58Z,,Jupyter Notebook,1,55979
christianvadillo/ML,1,0,2021-08-02T15:38:23Z,,Python,15,11674
NathanKuneman/Identifying-Lego-Set-Themes,1,0,2020-05-23T06:54:26Z,,Jupyter Notebook,9,66963
Noba1anc3/trash_classify_competition,2,5,2020-05-31T21:01:35Z,,Python,4,81
mshtelma/lendingclubsscoringdemo,1,0,2021-05-17T23:55:11Z,,Python,284,51835
nathanlct/ray,1,1,2021-06-15T01:08:51Z,"Predict and get data from invoices  such as  invoice’s number, date, total amount, etc.",Jupyter Notebook,10,11512
Marcos10452/InvoiceReader,1,1,2020-08-01T22:14:24Z,Training Mlflow Projects using Azure Machine Learning SDK and services,Jupyter Notebook,6,173
karishmadaga/MlflowProjectNotebooks,1,0,2022-04-09T13:48:56Z,python first steps,Jupyter Notebook,4,4959
riglerandreas/python_first_steps,1,0,2022-02-22T13:59:25Z,taxi,Python,1,9
PierreCeraH/TaxiFareModel,1,6,2021-05-14T08:47:16Z,deploying MLflow on Minikube and Openshift 4,Python,53,76
pdemeulenaer/mlflow-on-kubernetes,1,0,2022-12-01T07:12:05Z,,Python,316,9828
RonitKanakam-rk/Handsign-detection,1,0,2021-01-06T10:58:03Z,,Python,1062,3
pranavpandey2511/Generative-Adversarial-Network,11,0,2021-05-02T15:14:42Z,,Python,2,79628
marcgpalmer/azureml-examples,1,0,2020-07-18T02:23:54Z,My firsts steps using MLFlow library to develop an end-to-end machine learning pipeline,Python,209,8217
anjosma/mlflow_experiments,1,0,2019-05-26T22:38:33Z,,Jupyter Notebook,1,86751
tcbonds/Project_4,1,0,2021-05-20T22:53:27Z,,Python,3,22788
theyorubayesian/manhattan,1,0,2018-05-15T04:15:03Z,UC Davis EEC289Q final project,Python,19,14
boourbon/WebTrafficTimePrediction,1,0,2021-02-17T12:56:59Z,,Jupyter Notebook,14,21685
alex-hse-repository/ozon-masters-bigdata,2,8,2020-08-17T13:41:25Z,TanD - Train and Deploy is a no-code framework to automatize the Machine Learning workflow.,Python,10,111
piEsposito/TanD,1,0,2019-10-30T07:25:52Z,The repository consists of the Applications created by Virtusa using the data as a service from vLife platform.,HTML,6,25025
Virtusa-vLife/Applications,1,0,2021-03-02T14:15:09Z,Challenge Kaggle,Python,5321,82
nicolashuyghe/TaxiFareModel,30,0,2021-05-14T22:08:37Z,,C++,2440,86857
tylerjohnhaden/cloud-project-8,1,5,2021-02-16T13:13:15Z,Adaptation of FixMatch for Semi-supervised text classification ,Jupyter Notebook,1,99
Valentyn1997/semi-supervised-text-classification,1,0,2016-10-26T19:35:54Z,,C++,4276,22411
xcgoner/ps-mxnet-new,1,1,2019-08-12T21:32:04Z,Repository for Malware Visualization and Preprocessing work by Dr. Rakesh Verma and Alec Davila,Python,990,36
FullPint/Malware-Visualization-and-Preprocessing-Methods-for-CNNs,1,8,2021-11-29T15:53:22Z,A static analysis tool to detect test data leakage in Python notebooks,Python,4076,343
malusamayo/py-analysis,4,2,2021-02-25T15:58:47Z,"Transcribe name, date, locality (with constraints) from herbarium specimens using machine learning algorithms. ",Jupyter Notebook,35,746501
DarthReca/magnifier-california,1,0,2021-04-21T14:17:26Z,,Python,4,4
mzheng27/Herbarium_Project,1,0,2021-04-27T17:07:20Z,,HTML,16,16634
johanlaursen/mlflow_ork,1,0,2020-10-09T03:48:57Z,,Jupyter Notebook,12,14567
RubelHK99/CovidWebsite,1,0,2019-02-13T11:11:10Z,,Roff,20,873092
John-p-v1999/Sonnet-generator-final,1,1,2021-04-22T15:49:16Z,Analysis of different models for the detection of anomalies in multivariate time series,Python,21,1575
hazemalsaied/MWE.Identification,1,0,2022-12-13T12:36:21Z,,Python,195,271
GastonGarciaGonzalez/Multivariate-Time-Series-Anomaly-Detection,2,22,2018-07-24T21:56:27Z,MLflow samples - deprecated,Python,328,687
nachi-hebbar/yolo-to-onnx,30,0,2019-09-21T14:45:58Z,,Python,118,39848
amesar/mlflow-fun,1,0,2021-11-17T03:31:47Z,This is a project in which you can scrape all reviews from a specified review-web and analyse each one with a LSTM Neural Network.,Jupyter Notebook,412,11848
junhalba/incubator-mxnet-master,1,0,2020-10-05T06:49:04Z,,CSS,3,11115
TommyGula/scraping-sentiment-analysis,1,0,2022-01-12T19:39:11Z,ML Engineering Playground,Jupyter Notebook,422,16008
shubham7169/Deployment,0,0,2020-08-25T02:23:55Z,,Python,10,5010
wujack83/ML-Engineering,1,0,2022-10-31T12:54:11Z,,Python,2,617980
LEOCUIZHIHAO/kp_cv,1,6,2021-11-06T14:06:55Z,,Jupyter Notebook,300,212481
