repo_name,number_contributor,number_stars,created_date,description,language,number_commit,sloc
fastai/fastai,30,23756,2017-09-09T17:43:36Z,The fastai deep learning library,Jupyter Notebook,2659,853920
Ryan-Rhys/FlowMO,1,33,2020-07-29T13:42:56Z,Library for training Gaussian Processes on Molecules,Python,68,30535
EntilZha/qb-bert,1,0,2020-02-09T23:06:38Z,"Code for latest Quizbowl models (e.g., Bert)",Python,41,226
Michael-Vio/yolov5-master,1,0,2022-09-14T17:09:47Z,,Python,3,922
CuriousMonkey7/Bollworm-Counting-Challenge,1,1,2023-01-15T14:31:15Z,13th Place Solution to Wadhwani AI Bollworm Counting Challenge ,Jupyter Notebook,2464,13173
Jackson-coder/classroom,30,1,2022-12-13T02:57:18Z,识别教室场景中离席、缺席、卧躺的现象,Python,1287,13171
labmlai/labml,7,1354,2018-11-16T09:34:48Z,🔎 Monitor deep learning model training and hardware usage from your mobile phone 📱,Jupyter Notebook,353,105089
matech96/FederatedLearning,1,0,2020-03-02T16:04:37Z,,Jupyter Notebook,19,53847
Miaomz/caffe-opencl,1,0,2019-08-01T09:40:03Z,"A custom branch based on caffe-opencl, which applies on-GPU TDR algorithm to reduce the redundant computation cost on Dropout. Further optimization on other techniques may be included.",C++,1,8515
trianglecity/theano-develop-jupyter-docker,1,0,2017-02-08T01:31:49Z,theano develop-mode using Docker and jupyter,Python,40,11379
futurelee2/Chatbot-Yolov5,4,0,2023-01-27T09:01:53Z,,Python,4891,73493
junitt/try-cv-with-tianchi,1,0,2022-10-17T19:01:48Z,,Python,3463,1201
Genomics-HSE/Reformer-Genomics,2,0,2021-06-20T13:47:50Z,,Python,2625,69
cuteboyqq/YOLOV5-rasp,1,0,2023-01-19T16:24:15Z,,Python,5,14602
noorkhokhar99/yolov8-object-tracking,1,2,2023-01-11T06:56:11Z,,Python,33,6756
xiaoda99/transformers-old,30,0,2021-11-07T09:51:17Z,,Python,8,36341
matiascalandrelli/cardiacMRI,1,0,2022-10-03T09:16:44Z,Segmentation CMR,Python,342,161
DanElis/livecell,1,0,2023-01-31T22:46:10Z,,Jupyter Notebook,11,34408
ludwig-ai/ludwig,30,8867,2018-12-27T23:58:12Z,Data-centric declarative deep learning framework,Python,21986,33120
leiwuhen92/yolov5_flash,30,0,2023-04-12T06:53:56Z,,Python,23769,1276879
sanglee/caffe-mc-opencl,2,0,2019-01-24T23:27:39Z,Caffe Deep Learning Software with Model Compression by Sparse Coding (Backend: OpenCL),C++,67,28793
Nightingalelyy/hpml_final_yolov5,1,0,2022-12-11T05:43:02Z,,Python,1,388765
IIT-PAVIS/lifting_events_to_3d_hpe,2,33,2021-04-14T07:46:37Z,"Code for ""Lifting Monocular Events to 3D Human Poses"" - CVPRw 2021",Python,3,13152
OfirKedem/fligh-slicer,1,1,2022-03-26T18:27:27Z,,Jupyter Notebook,11,308
synbioks/Text-Mining-NLP,13,6,2020-10-01T16:42:44Z,,Java,164,24402
abugler/SMLFinalProject,1,0,2020-03-13T04:09:03Z,,Jupyter Notebook,77,1118812
gwjensen/Theano,30,0,2016-07-19T12:49:14Z,Fork from Theano merged with surban's Theano Fork,Python,64,47768
YanzhaoWu/Theano-1,30,0,2018-07-03T18:19:03Z,,Python,20,57027
MuhammadMoinFaisal/YOLOv8-object-tracking-blurring-counting,1,19,2023-01-21T16:52:57Z,"Real-Time Object Detection, Tracking, Blurring and Counting using YOLOv8",Jupyter Notebook,1,22760
AtousaTorabi/Theano_old,30,1,2014-08-27T16:29:36Z,,Python,154,23296
noorkhokhar99/Fire-Detection-using-YOLOv8,1,1,2023-02-02T05:09:54Z,Fire-Detection-using-YOLOv8,Python,162,26046
kovibalu/cnntools,1,1,2016-06-08T15:20:29Z,Django app which can track CNN training with caffe and provides other convenience tools. It uses the OpenSurfaces framework.,Python,1,109
shredder67/lightning-playground,1,0,2023-01-10T22:44:02Z,"just bunch of code from tutorials with some comments, cool stuff",Python,6744,2
Benedict93/test,1,0,2018-04-01T12:06:06Z,digits test,HTML,10,36771
data-kwon/test,1,0,2018-09-14T04:51:50Z,,HTML,7,36770
Stephen-SMJ/MaskDetection,1,1,2023-02-14T11:26:00Z,基于YOLOV5的口罩检测，使用NVIDIA GTX1060 6G训练。MAP@0.5达到0.9058，MAP@5:0.95达到0.629180。需要权重文件可以联系：s2371160103@163.com,Python,8,20596
EIC-CV2023/wit-yolov8,1,0,2023-01-29T08:05:22Z,"""What is that?"" task with yolov8 and tracker",Python,8,1136
MaartenVanLoo/AIonWheels,8,2,2022-11-22T13:36:34Z,I-DistributedAI final project,Python,41,787195
nuri428/deep-learning,1,47,2015-07-24T05:21:04Z,,Jupyter Notebook,32,132840
aqillakhamis/gocart-flask,2,0,2022-11-04T04:58:16Z,,Python,42,73974
cameronosmith/cameronosmith.github.io,1,0,2022-04-05T05:07:38Z,,Python,2,63392
alainray/spur,1,0,2023-02-28T22:10:37Z,,Python,4,20
srtk/DeepLearning,2,1,2013-11-15T05:31:50Z,,Python,13,16688
duy1009/Keep_babies_safe,1,0,2023-02-19T14:13:19Z,,Python,10,88848
pingsutw/hello-submarine,1,3,2019-09-30T04:34:45Z,This repo is for beginner who want to learn and use Submarine ,Dockerfile,55,761
SyedHamza0196/ultralytics-v8,10,0,2023-01-31T06:39:44Z,,Python,7,2528
Debasish-Sarangi/Data-Science,1,0,2022-11-29T20:26:58Z,,Python,55,48632
rvavruska/DeepLearning,3,2,2017-06-14T22:42:44Z,Submission for HisDB 2017 competition,Python,5,53421
ctensmeyer/HisDB,0,0,2022-02-11T16:19:36Z,,Python,20,1
thekovach/comet-optuna-sample,1,0,2022-10-20T07:09:05Z,,Python,9,817
berinja/icr-codraw,4,1,2022-01-11T11:53:37Z,,Jupyter Notebook,27,49373
zcapjdb/UKAEAGroupProject,4,0,2021-09-28T22:54:15Z,,Jupyter Notebook,8,2690
ArchambaultP/NHL-Notebooks,4,3,2021-02-19T07:37:44Z,Social Computing Project,Jupyter Notebook,2,57124
VAIBHAV-2303/Hateful-Memes-Classification,1,0,2015-06-03T05:59:40Z,,Python,32,40218
gtrrebel/HIITS15,1,1,2020-12-02T09:01:39Z,,Jupyter Notebook,1,70119
johanneskruse/LUKE_thesis,1,1,2023-01-30T07:47:04Z,,Python,91,107781
DanielGlickmanTAU/fast_textual_inversion,1,0,2021-10-24T00:21:16Z,,Jupyter Notebook,26,432
sirusb/DL_genomics_example,2,77,2020-10-01T19:36:47Z,A graph neural network tailored to directed acyclic graphs that outperforms conventional GNNs by leveraging the partial order as strong inductive bias besides other suitable architectural features.,Python,13360,11582
vthost/DAGNN,6,0,2022-12-04T02:39:36Z,사진 업로드 시 AI를 이용해 자동으로 태깅을 해주는 SNS 앱,Python,50,53789
wet6123/Intagral,30,0,2021-03-10T18:44:04Z,,Python,398,25334
c-w-m/hgf-transformers,1,0,2022-10-11T15:06:38Z,vision application project back-end package,Python,535,515602
bbbjihan/vision_server,2,0,2016-03-01T02:54:05Z,Modified version of Theano with goodies for SPINN,Python,19,6529
hans/theano-hacked,4,0,2022-12-12T15:31:37Z,Backend code for computer vision course project AI album.,Python,24000,80909
guohanli/cv-project,4,1,2023-02-28T23:11:36Z,final project repository for cs7980 computer vision FAS collabrative course project codes,Jupyter Notebook,2,98958
ShangXiaoNEUCS/CS7980_Computer_FAS,1,1,2023-01-08T03:14:40Z,A computer vision detection app for identifying animals in nature,Python,5488,27914
jaffourt/FaunaFinder,2,0,2022-02-03T16:54:07Z,code to reproduce results from Fine-Tuning Transformers For Genomic Tasks paper,Jupyter Notebook,57,4942
ML-Bioinfo-CEITEC/paper_FineTuning_Transformers_For_Genomic_Tasks,2,0,2022-10-26T22:19:27Z,An incomplete video filter app using tkinter,Python,23082,887
dereina/video_filter,1,0,2018-11-13T11:38:59Z,,Python,2,8587
CasdeGroot/EmbeddedProject,2,32,2020-04-30T17:34:04Z,Hard-Coded Gaussian Attention for Neural Machine Translation,Python,2458,138
lek34/YOLOV8-SAWIT,1,0,2023-02-27T02:44:20Z,大三下作业,Python,10345,26488
fallcat/stupidNMT,2,1,2022-12-28T11:27:31Z,,Python,51,13994
kqnan/HomeWork,3,296,2017-08-22T13:55:27Z,Learning to create Machine Learning Algorithms,Python,11,11362
OnlyForMyCode/HarvestingDetection,1,0,2014-06-08T19:46:40Z,Code associated with the dhlv blog,Python,9,196836
srafay/Machine_Learning_A-Z,1,0,2020-02-18T09:49:09Z,,HTML,1593,39444
lucianionita/dhlv,1,49,2021-11-25T00:44:08Z,Code for Active Learning at The ImageNet Scale. This repository implements many popular active learning algorithms and allows training with torch's DDP. ,Python,4,809
Linda-liugongzi/DIGITS-digits-py3,1,0,2022-06-18T21:18:58Z,,Python,1,8108
zeyademam/active_learning,1,0,2022-10-22T01:34:42Z,Fruits visualizer - university group project for 智能图像技术及系统 course,Python,886,162799
EphraimX/model-tracking-and-experimentation-with-comet-ml,1,0,2022-11-25T05:35:16Z,,Python,1,47078
wotori/keji-fruits,1,0,2023-02-21T08:48:22Z,,Python,333,518
tuananh2606/BTL_Python,1,0,2022-05-09T13:03:11Z,"Paper ""A Benchmark for Lease Contract Review""",Jupyter Notebook,69,713
GoGoGodeep/Bone-age-detection-based-on-YOLOv5-and-ResNet,1,0,2022-09-08T10:50:26Z,Semparl/FIN-CLARIAH project aiming to train deep learning models with data of speeches held in the Finnish parliament,Jupyter Notebook,601,267
j-rossi-nl/redflag,1,0,2020-10-07T15:19:55Z,,Jupyter Notebook,20,396453
TurkuNLP/parliament-speech-project,1,0,2022-12-10T14:36:01Z,Maladrone for Larval Source  Management (LSM),Python,4848,90615
leonwooster/leonwoo-server-Python,1,0,2015-09-11T06:58:55Z,,C++,2353,240240
silakironji/Maladrone,2,0,2022-11-02T16:58:26Z,the final project of Idan and Chen,Python,76,503877
HunjaeJung/imagenet2014-modified,1,0,2020-03-23T16:31:28Z,,JavaScript,1,156214
final-project-Chen-and-Idan/final-project,1,2,2021-03-10T12:37:55Z,The no-brainer Python library for experiment management,Python,111,125
mesakh123/imagepredict,1,0,2015-12-03T19:51:52Z,,Python,1,4092
mikimn/arggo,1,0,2022-11-14T01:51:08Z,,,23,21844
yunqiw/pythonlib,2,5,2016-12-16T18:04:58Z,,Jupyter Notebook,1,67892
AnQiYan/tobacodetect,2,0,2019-03-20T17:56:45Z,,Jupyter Notebook,8,6705
SidHard/digits-multi-detect,1,0,2022-10-14T11:06:20Z,,Python,1,4605
